transaction_id,amount,merchant,location,timestamp,card_number,is_fraud
TXN00176,188.82,Target,"Phoenix, AZ",2025-10-07T04:01:13,****2989,0
TXN00771,157.85,Target,"Houston, TX",2025-10-11T10:56:13,****8496,0
TXN00508,14.94,Walmart,"Phoenix, AZ",2025-10-16T08:56:13,****7375,0
TXN00262,49.93,Walmart,"Chicago, IL",2025-09-28T08:31:13,****2503,0
TXN00779,48.83,Home Depot,"New York, NY",2025-10-01T06:18:13,****6641,0
TXN00523,20.21,Target,"Austin, TX",2025-10-09T14:15:13,****5933,0
TXN00934,5.0,Amazon,"Austin, TX",2025-10-01T11:06:13,****7068,0
TXN00130,25.66,Shell Gas,"Los Angeles, CA",2025-10-08T00:52:13,****8532,0
TXN00852,23.73,Home Depot,"Philadelphia, PA",2025-09-21T09:32:13,****5117,0
TXN00662,24.04,Best Buy,"San Antonio, TX",2025-10-10T06:51:13,****2376,0
TXN00701,24.93,Apple Store,"Austin, TX",2025-09-27T07:22:13,****8393,0
TXN00059,89.74,Walmart,"Dallas, TX",2025-10-15T10:24:13,****6718,0
TXN00112,52.47,Shell Gas,"Houston, TX",2025-10-13T10:31:13,****7371,0
TXN00076,187.33,Target,"Jacksonville, FL",2025-10-18T11:30:13,****8711,0
TXN00393,7.54,Best Buy,"San Jose, CA",2025-10-05T11:30:13,****1742,0
TXN00057,15.51,Costco,"San Antonio, TX",2025-10-17T07:13:13,****8491,0
TXN00111,5.0,McDonald's,"Dallas, TX",2025-09-28T05:41:13,****4613,0
TXN00817,81.5,Costco,"New York, NY",2025-10-05T12:51:13,****7203,0
TXN00644,5.73,Starbucks,"New York, NY",2025-09-27T07:38:13,****6038,0
TXN00029,22.18,Chevron,"Dallas, TX",2025-09-22T22:12:13,****9005,0
TXN00049,91.42,Shell Gas,"Phoenix, AZ",2025-10-08T06:46:13,****8973,0
TXN00976,4295.91,McDonald's,"Moscow, Russia",2025-10-16T23:02:13,****1159,1
TXN00860,141.09,Apple Store,"New York, NY",2025-09-27T02:53:13,****5934,0
TXN00326,8.83,Amazon,"Austin, TX",2025-10-05T08:47:13,****3352,0
TXN00011,27.25,Costco,"Los Angeles, CA",2025-09-24T13:26:13,****7227,0
TXN00881,2000.0,Costco,"San Diego, CA",2025-10-09T10:50:13,****1504,0
TXN00019,13.98,Target,"Phoenix, AZ",2025-10-17T12:57:13,****9830,0
TXN00650,155.14,Best Buy,"Phoenix, AZ",2025-10-13T04:33:13,****7438,0
TXN00414,371.12,Starbucks,"Chicago, IL",2025-10-12T16:47:13,****2294,0
TXN00440,50.23,Apple Store,"Houston, TX",2025-10-14T02:02:13,****3509,0
TXN00913,79.37,CVS Pharmacy,"Phoenix, AZ",2025-10-03T09:21:13,****7171,0
TXN00180,2000.0,Shell Gas,"Jacksonville, FL",2025-10-12T10:15:13,****7807,0
TXN00828,24.92,Walmart,"Phoenix, AZ",2025-10-02T13:25:13,****7437,0
TXN00626,25.36,Shell Gas,"Philadelphia, PA",2025-10-05T08:40:13,****5247,0
TXN00717,64.8,Walmart,"Austin, TX",2025-10-10T05:06:13,****4727,0
TXN00734,5.0,Shell Gas,"Jacksonville, FL",2025-09-30T14:37:13,****4734,0
TXN00865,21.78,Best Buy,"San Jose, CA",2025-10-05T09:57:13,****1144,0
TXN00050,5.0,Target,"Houston, TX",2025-10-12T13:29:13,****9883,0
TXN00906,58.54,Chevron,"New York, NY",2025-09-30T12:41:13,****3717,0
TXN00259,106.24,Apple Store,"Austin, TX",2025-09-25T07:31:13,****3955,0
TXN00831,7.27,Shell Gas,"San Diego, CA",2025-09-30T09:00:13,****3205,0
TXN00377,202.04,McDonald's,"San Diego, CA",2025-10-07T12:54:13,****3353,0
TXN00834,17.26,CVS Pharmacy,"San Jose, CA",2025-10-16T07:24:13,****2696,0
TXN00712,47.23,Walmart,"San Diego, CA",2025-09-24T14:42:13,****7512,0
TXN00066,417.53,Amazon,"Los Angeles, CA",2025-10-01T11:15:13,****1722,0
TXN00003,144.25,Walmart,"San Jose, CA",2025-10-08T19:27:13,****4582,0
